Comment,Designator,Footprint,LCSC
C,"C1,C2",C_1206_3216Metric,C107172
10K,"R1,R2,R3,R4,R5,R6,R7",R_1206_3216Metric,C144471
Conn_01x04_Male,J3,PinHeader_1x04_P2.54mm_Vertical,C2691448
FLASH,"SW1,SW2",SW_PUSH_6mm,C393938
Conn_01x02_Male,J1,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,C475092
Conn_01x03_Male,J2,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,C475093
AMS1117-3.3,U2,SOT-223-3_TabPin2,C5199435
BSS138,Q1,SOT-23,C52895
ESP8266-12E/ESP-12E,U3,XCVR_ESP8266-12E_ESP-12E,C82891
Meanwell_MPM-20-5,U1,Meanwell MPM-20-5,
