Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_1206_3216Metric,65.988,-72.426,0.0,top
C2,C,C_1206_3216Metric,72.338,-72.426,0.0,top
J1,Conn_01x02_Male,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,69.163,-62.266,-90.0,top
J2,Conn_01x03_Male,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,69.163,-77.501,-90.0,top
J3,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,143.468,-62.266,90.0,top
Q1,BSS138,SOT-23,142.188,-87.666,90.0,top
R1,10K,R_1206_3216Metric,137.108,-83.856,0.0,top
R2,10K,R_1206_3216Metric,141.9955,-83.856,0.0,top
R3,10K,R_1206_3216Metric,132.028,-83.856,0.0,top
R4,10K,R_1206_3216Metric,137.108,-81.316,0.0,top
R5,10K,R_1206_3216Metric,137.108,-86.396,0.0,top
R6,10K,R_1206_3216Metric,132.028,-86.396,0.0,top
R7,10K,R_1206_3216Metric,132.028,-81.316,0.0,top
SW1,FLASH,SW_PUSH_6mm,131.318,-72.426,0.0,top
SW2,RESET,SW_PUSH_6mm,131.318,-62.556,0.0,top
U1,Meanwell_MPM-20-5,Meanwell MPM-20-5,76.003,-59.393,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,149.808,-86.396,180.0,top
U3,ESP8266-12E/ESP-12E,XCVR_ESP8266-12E_ESP-12E,149.9042,-73.696,-90.0,top
